anime_id,title,score,rank,popularity,members,start_date,end_date,type,episodes,,
1,Cowboy Bebop,8.75,48,42,2014470,1/01/1998,1/01/1999,TV,26,Total Number of Rows,10000
5,Cowboy Bebop: Tengoku no Tobira,8.38,232,650,404634,1/01/2001,1/01/2001,Movie,1,MAX_Score,9.29
6,Trigun,8.22,386,265,817570,1/01/1998,1/01/1998,TV,26,Count the number of Anime more than 8.5,149
7,Witch Hunter Robin,7.23,3345,1982,126303,1/01/2002,1/01/2002,TV,26,Total Members in Overall Anime,1075308752
8,Bouken Ou Beet,6.92,4888,5773,16486,1/01/2004,1/01/2005,TV,52,,
15,Eyeshield 21,7.91,841,1394,193887,1/01/2005,1/01/2008,TV,145,,
16,Hachimitsu to Clover,7.98,727,960,282191,1/01/2005,1/01/2005,TV,24,,
17,Hungry Heart: Wild Striker,7.54,1904,4780,26530,1/01/2002,1/01/2003,TV,52,,
18,Initial D Fourth Stage,8.17,454,1293,209615,1/01/2004,1/01/2006,TV,24,,
19,Monster,8.89,25,119,1281529,1/01/2004,1/01/2005,TV,74,,
20,Naruto,8.02,667,9,3055340,1/01/2002,1/01/2007,TV,220,,
21,One Piece,8.73,51,17,2604623,1/01/1999,,TV,,,
22,Tennis no Oujisama,7.84,999,1383,195491,1/01/2001,1/01/2005,TV,178,,
23,Ring ni Kakero 1,6.35,8195,8964,5552,1/01/2004,1/01/2004,TV,12,,
24,School Rumble,7.88,905,788,341906,1/01/2004,1/01/2005,TV,26,,
25,Sunabouzu,7.36,2631,1730,149394,1/01/2004,1/01/2005,TV,24,,
26,Texhnolyze,7.75,1214,968,280592,1/01/2003,1/01/2003,TV,22,,
27,Trinity Blood,7.28,3013,1378,196669,1/01/2005,1/01/2005,TV,24,,
28,Yakitate!! Japan,7.91,836,2268,104180,1/01/2004,1/01/2006,TV,69,,
29,Zipang,7.49,2077,4909,24914,1/01/2004,1/01/2005,TV,26,,
30,Shinseiki Evangelion,8.36,251,45,1978757,1/01/1995,1/01/1996,TV,26,,
31,Shinseiki Evangelion Movie: Shi to Shinsei,7.49,2066,986,276450,1/01/1997,1/01/1997,Movie,1,,
32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.56,124,178,1015498,1/01/1997,1/01/1997,Movie,1,,
33,Kenpuu Denki Berserk,8.61,102,301,743980,1/01/1997,1/01/1998,TV,25,,
43,Koukaku Kidoutai,8.27,328,340,688814,1/01/1995,1/01/1995,Movie,1,,
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.69,69,932,289895,1/01/1999,1/01/1999,OVA,4,,
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.28,319,477,519679,1/01/1996,1/01/1998,TV,94,,
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.55,1819,3309,54954,1/01/1997,1/01/1997,Movie,1,,
47,Akira,8.16,477,208,935360,1/01/1988,1/01/1988,Movie,1,,
48,.hack//Sign,6.94,4809,1408,192078,1/01/2002,1/01/2002,TV,26,,
49,Aa! Megami-sama!,7.27,3092,3218,57566,1/01/1993,1/01/1994,OVA,5,,
